var,created,deleted,missings
T_MCOXXA,2006,2017,
T_MCOXXB,2006,2017,
T_MCOXXC,2006,2017,
T_MCOXXCSTC,2007,2017,
T_MCOXXD,2006,2017,
T_MCOXXE,2006,2017,
T_MCOXXZ,2011,2017,
T_MCOXXUM,2006,2017,
T_MCOXXSTC,2006,2017,
T_MCOXXFA,2006,2017,
T_MCOXXFB,2006,2017,
T_MCOXXFC,2006,2017,
T_MCOXXFI,2006,2017,
T_MCOXXFH,2006,2017,
T_MCOXXFL,2012,2017,
T_MCOXXFP,2006,2017,
T_MCOXXFM,2006,2017,
T_MCOXXFASTC,2007,2017,
T_MCOXXFBSTC,2008,2017,
T_MCOXXFCSTC,2007,2017,
T_MCOXXFHSTC,2009,2017,
T_MCOXXFMSTC,2007,2017,
T_MCOXXFPSTC,2011,2017,
T_MCOXXFLSTC,2012,2017,
T_MCOXXGV11E,2012,2013,
T_MCOXXGV11D,2011,2012,
T_MCOXXDIALP,2009,2017,
T_MCOXXDMIP,2008,2017,
T_MCOXXMED,2008,2017,
T_MCOXXMEDATU,2012,2017,
T_MCOXXMEDTHROMBO,2012,2017,
T_MCOXXPIE,2008,2017,
T_MCOXXPORG,2008,2017,
T_MCOXXUPGV,2012,2017,
T_MCOXXVALO,2011,2017,
T_MCOXXVALOACE,2013,2017,
T_MCOXXORP,2013,2016,
T_MCOXXGV11F,2013,2014,
T_MCOXXBPHNP,2011,2014,
T_MCOXXLACT,2010,2014,
T_MCOXXBPHNC,2010,2014,
T_MCOXXBPHNA,2010,2014,
T_MCOXXGV11C,2010,2011,
T_MCOXXBPHN,2010,2010,
T_MCOXXGV11B,2009,2010,
T_MCOXXGV10C,2008,2008,
T_MCOXXIVG,2017,2017,
T_MCOXXFFM,2007,2008,
T_MCOXXPIP,2013,2015,
T_MCOXXGV11G,2014,2015,
T_MCOXXGV2016,2015,2016,
T_MCOXXGV2017,2016,2017,
T_MCOXXGV2018,2017,2017,
T_MCOXXLEG,2015,2017,
T_MCOXXSUP_BPHNA,2015,2017,
T_MCOXXSUP_BPHNC,2015,2017,
T_MCOXXSUP_BPHNP,2015,2017,
T_MCOXXSUP_CES,2015,2017,
T_MCOXXSUP_FFM,2015,2015,
T_MCOXXSUP_LACT,2015,2017,
T_MCOXXSUP_PPCO,2016,2017,
T_MCOXXSUP_SMUR,2016,2017,
T_MCOXXSUP_USMP,2016,2017,
T_HADXXA,2012,2017,
T_HADXXB,2006,2017,
T_HADXXC,2006,2017,
T_HADXXD,2009,2017,
T_HADXXDMPA,2012,2017,
T_HADXXDMPP,2012,2017,
T_HADXXFA,2010,2017,
T_HADXXFB,2010,2017,
T_HADXXFC,2010,2017,
T_HADXXFH,2010,2017,
T_HADXXFM,2010,2017,
T_HADXXFI,2016,2017,
T_HADXXFL,2012,2017,
T_HADXXFP,2017,2017,
T_HADXXS,2015,2017,
T_HADXXSTC,2007,2017,
T_HADXXGRP,2006,2017,
T_HADXXGRE,2006,2017,
T_HADXXLEG,2015,2017,
T_HADXXMED,2009,2017,
T_HADXXMEDATU,2012,2017,
T_HADXXMEDCHL,2016,2017,
T_HADXXE,2015,2017,
T_HADXXEHPA,2011,2017,2013_2014
T_SSRXXB,2006,2017,
T_SSRXXC,2006,2017,
T_SSRXXCCAM,2009,2017,
T_SSRXXCMC,2006,2016,
T_SSRXXCCAR,2009,2013,
T_SSRXXD,2009,2017,
T_SSRXXS,2006,2017,
T_SSRXXSTC,2014,2017,
T_SSRXXGHJ,2006,2012,
T_SSRXXGME,2012,2017,
T_SSRXXLEG,2014,2017,
T_SSRXXMED,2010,2017,
T_SSRXXMEDATU,2012,2017,
T_SSRXXFA,2007,2017,
T_SSRXXFB,2007,2017,
T_SSRXXFC,2007,2017,
T_SSRXXFH,2007,2017,
T_SSRXXFI,2007,2017,
T_SSRXXFL,2012,2017,
T_SSRXXFM,2007,2017,
T_SSRXXFP,2007,2017,
T_SSRXXA,2006,2008,
T_SSRXXE,2006,2017,
T_SSRXXFASTC,2012,2017,
T_SSRXXFBSTC,2012,2017,
T_SSRXXFLSTC,2012,2017,
T_SSRXXFCSTC,2012,2017,
T_SSRXXFMSTC,2012,2017,
T_SSRXXCSTC,2013,2017,
T_SSRXXCSARR,2014,2017,
T_RIPXXR3A,2007,2017,
T_RIPXXR3AD,2007,2017,
T_RIPXXRSA,2007,2017,
T_RIPXXRSAD,2007,2017,
T_RIPXXC,2007,2017,
T_RIPXXCCAM,2017,2017,
T_RIPXXFA,2010,2017,
T_RIPXXFB,2010,2017,
T_RIPXXFC,2010,2017,
T_RIPXXFH,2010,2017,
T_RIPXXFI,2010,2017,
T_RIPXXFM,2010,2017,
T_RIPXXFP,2010,2017,
T_RIPXXFL,2012,2017,
T_RIPXXE,2007,2017,
T_RIPXXS,2015,2017,
T_RIPXXSTC,2012,2017,
KI_CCI_R,2013,2015,
KI_ECD_R,2013,2015,
